LONGITUDE,LATITUDE,Painted,SIGNNAME,BOROUGH,FountainCo,TYPE,DESCRIPTION,FEATURESTA
-73.95770081,40.59701927,no,Mellett Playground,B,1,A, Out in Open,Active
-73.95592225,40.81533402,no,Sheltering Arms Playground,M,1,C, In Playground,Active
-73.89471523,40.84433373,no,Tremont Park,X,1,C, In Playground Under Tree,Active
-73.8828756,40.71966132,no,Juniper Valley Park,Q,1,E,Wheelchair Near Ballfield,Active
-73.74202931,40.66279276,no,Brookville Park,Q,1,A, Out in Open,Active
-73.99409379,40.71127354,yes,Coleman Playground,M,1,A, Near Ballfield,Active
-73.99492272,40.68095437,no,Carroll Park,B,1,A, In Playground,Active
-73.81339928,40.82337667,yes,Bicentennial Veterans Memorial Park,X,1,A, Near Ballfield Out in Open,Active
-73.98134397,40.68686719,no,Sixteen Sycamores Playground,B,1,C, In Playground Out in Open,Active
-73.90755652,40.83190697,no,Morgan Playground,X,1,C, In Shade Under Tree,Active
-74.09293105,40.62581569,no,Silver Lake Park,R,1,O,ther Under Tree,Active
-73.88656429,40.65575523,no,Ethan Allen Playground,B,1,D, Under Tree,Active
-73.96541674,40.65159403,yes,Parade Ground,B,1,E,Wheelchair In Playground Out in Open,Active
-73.96642667,40.65189496,no,Parade Ground,B,1,A, Out in Open Near Ballfield,Active
-74.08417351,40.57414417,yes,Franklin D. Roosevelt Boardwalk and Beach,R,1,D, In Playground,Active
-73.88164445,40.84377971,yes,Vidalia Park,X,1,D, Out in Open,Active
-74.03082385,40.63938499,no,Owl's Head Park,B,1,A, In Playground,Active
-73.86212552,40.8341447,,Virginia Playground,X,1,A,,Active
-73.91030994,40.81034477,yes,St. Mary's Park,X,1,A, Out in Open In Playground,Active
-73.8387537,40.74482107,yes,Flushing Meadows Corona Park,Q,1,D, Out in Open,Active
-73.99004689,40.69414505,yes,Korean War Veterans Plaza,B,1,E,Wheelchair Out in Open,Active
-73.93755297,40.60686687,no,Marine Park,B,2,B,ottle Filler High Low Near Ballfield,Active
-73.92176541,40.74726043,yes,Torsney Playground,Q,1,F, Under Tree Just Outside Playground,Active
-73.99765616,40.73031602,yes,Washington Square Park,M,1,E,Wheelchair Under Tree,Active
-73.9754883,40.7761619,yes,Central Park,M,1,E,Wheelchair Under Tree Out in Open In Shade,Active
-73.91592932,40.79273258,no,Randall's Island Park,M,1,P,edestal Out in Open Near Ballfield,Active
-73.94160241,40.79701195,yes,James Weldon Johnson Playground,M,1,B,ottle Filler Near Ballfield Just Outside Playground,Active
-73.8550917,40.76025785,No,Grand Central Parkway Extension,Q,0,C, Under tree,Active
-74.08219502,40.57473638,yes,Franklin D. Roosevelt Boardwalk and Beach,R,1,A, Near Ballfield,Active
-73.9794401,40.79156382,yes,Riverside Park,M,1,E,Wheelchair Out in Open Under Tree,Active
-74.01711618,40.606197,no,Dyker Beach Park,B,1,A, Near Ballfield,Active
-73.99327813,40.76838516,no,De Witt Clinton Park,M,1,D, Near Ballfield,Active
-73.97694816,40.66139183,yes,Prospect Park,B,1,B,ottle Filler Fountain Out in Open Near Ballfield,Active
-73.89458858,40.83726404,,Crotona Park,X,1,A, Out in Open,Active
-73.74720961,40.74187866,no,Alley Pond Park,Q,1,A, Out in Open,Active
-73.9737995,40.76911733,no,Central Park,M,1,O,ther Under Tree In Shade Out in Open,Active
-73.90618328,40.65566635,yes,Osborn Playground,B,1,A, Under Tree Near Ballfield In Shade,Active
-73.856102,40.70165018,yes,Forest Park,Q,1,C, Just Outside Playground,Active
-73.87364842,40.82705541,yes,Bronx River Parkway,X,2,F,High Low Dog In Playground Near Ballfield,Active
-73.82139912,40.71216436,no,Hoover - Manton Playgrounds,Q,1,A, In Playground,Active
-73.91204603,40.7105353,no,Grover Cleveland Playground,Q,1,C, Near Ballfield,Active
-73.77116818,40.75706197,yes,Marie Curie Park,Q,1,C, In Playground,Active
-73.99604941,40.57162073,no,Nautilus Playground,B,1,C, Under Tree In Shade In Playground,Active
-73.79396964,40.76585117,no,Auburndale Playground,Q,1,C, Under Tree In Playground,Active
-73.82154638,40.74635311,yes,Kissena Corridor Park,Q,1,A, Under Tree In Shade In Playground,Active
-73.99084611,40.72873927,no,Cooper Triangle,M,1,T,rough Out in Open,Active
-73.94917457,40.70243757,no,De Hostos Playground,B,1,D, Out in Open In Playground,Active
-73.81730891,40.77427514,,Flushing Fields,Q,1,D, Near Ballfield,Active
-73.92522846,40.77695799,no,Astoria Park,Q,1,D, Near Ballfield Under Tree Out in Open,Active
-73.77814298,40.69308987,no,St. Albans Park,Q,1,C, Out in Open,Active
-73.99152089,40.70972578,no,East River Waterfront Esplanade,M,1,O,ther In Shade Near Ballfield,Active
-73.94004501,40.82756365,yes,Jackie Robinson Park,M,1,A, Near Ballfield In Playground,Active
-74.03741659,40.62608703,,Fort Hamilton Athletic Field,B,1,D, Near Ballfield,Active
-73.94615714,40.68574631,yes,Hattie Carthan Playground,B,1,C, Near Ballfield In Playground,Active
-73.9280786,40.77060731,,Van Alst Playground,Q,1,B,ottle Filler In Playground,Active
-73.80879009,40.79218816,no,Whitestone Playground,Q,1,A, Under Tree In Shade Near Ballfield,Active
-73.93140484,40.6479348,no,Tilden Playground,B,1,C,S Concrete Out in Open In Playground,Active
-73.84241709,40.75103432,no,Flushing Meadows Corona Park,Q,1,C, Out in Open,Active
-73.8983007,40.88677753,yes,Van Cortlandt Park,X,1,T,rough Under Tree In Playground,Active
-73.81318973,40.58381271,no,Rockaway Beach Boardwalk,Q,1,T,rough Out in Open,Active
-73.90552997,40.88781534,no,MacLaughlin Playground,X,1,D, Under Tree,Active
-73.76960615,40.68602839,no,Roy Wilkins Recreation Center,Q,1,A, In Playground,Active
-73.84247057,40.70090695,no,Forest Park,Q,1,D, In Playground,Active
-73.90241777,40.77782906,no,Woodtree Playground,Q,1,A, Near Ballfield,Active
-73.87755767,40.72095768,yes,Juniper Valley Park,Q,1,D, Out in Open,Active
-73.85978447,40.72043656,yes,The Painter's Playground,Q,1,A, Under Tree In Playground,Active
-73.97790068,40.71089242,yes,John V. Lindsay East River Park,M,1,E,Wheelchair Under Tree Near Ballfield,Active
-73.88460072,40.69062037,no,Highland Park,Q,1,E,Wheelchair Out in Open,Active
-73.90533383,40.8135272,yes,Fountain Of Youth Playground,X,1,D, Under Tree In Playground,Active
-73.8609526,40.73342825,no,Horace Harding Playground,Q,1,A, Near Ballfield,Active
-73.92571625,40.82308734,no,Franz Sigel Park,X,1,A, Out in Open,Active
-73.9639717,40.77763184,yes,Central Park,M,2,E,Wheelchair Child In Playground,Active
-73.97619654,40.73610927,,Asser Levy Playground,M,2,E,Wheelchair Child Just Outside Playground Near Ballfield,Active
-73.95824578,40.69206202,,Star Spangled Playground,B,1,D, Near Ballfield,Active
-73.85881294,40.88776934,no,Rienzi Playground,X,1,A, Under Tree In Shade In Playground,Active
-73.93463272,40.77182741,no,Hallets Cove Playground,Q,1,A, In Playground,Active
-73.91943426,40.63689409,yes,Glenwood Playground,B,2,F,High Low Out in Open Just Outside Playground,Active
-73.76732679,40.59906642,no,Bayswater Park,Q,1,A, Out in Open,Active
-73.86585179,40.84356631,yes,Van Nest Park,X,2,F,High Low Under Tree,Active
-74.08983708,40.5828947,yes,Dongan Playground,R,1,A, In Playground,Active
-73.98635207,40.78382801,yes,Riverside Park,M,1,A, Just Outside Playground Near Ballfield Out in Open,Active
-73.88378165,40.67772546,yes,Sperandeo Brothers Playground,B,2,E,Wheelchair Child Under Tree In Playground,Active
-73.93995607,40.67467897,yes,St. Mark's Playground,B,1,C, In Playground Out in Open,Active
-73.92727303,40.6658981,yes,Lincoln Terrace / Arthur S. Somers Park,B,1,C, Under Tree,Active
-73.7823199,40.67728075,no,Baisley Pond Park,Q,1,C, In Playground,Active
-73.74608302,40.59513869,no,Beach 9 Playground,Q,1,D, Just Outside Playground,Active
-73.71511305,40.74971435,no,Glen Oaks Oval,Q,1,A, Near Ballfield,Active
-73.96500135,40.78043709,yes,Central Park,M,1,E,Wheelchair Under Tree In Shade,Active
-74.11054252,40.61771235,yes,Clove Lakes Park,R,1,A, Out in Open,Active
-74.01839057,40.70506569,no,Battery Park City,M,1,C,S Metal In Shade,Active
-73.9618045,40.78875923,yes,Central Park,M,1,E,Wheelchair Under Tree Out in Open,Active
-73.82570717,40.8471242,yes,Pelham Bay Park,X,1,C, Near Ballfield,Active
-73.86201958,40.74860537,no,Park Of The Americas,Q,1,C, Near Ballfield,Active
-73.97147811,40.57400125,no,Coney Island Beach & Boardwalk,B,1,E,Wheelchair Out in Open,Active
-73.8533049,40.68580648,no,London Planetree Playground,Q,1,D, In Playground,Active
-73.97449563,40.71897745,no,John V. Lindsay East River Park,M,1,C, Near Ballfield,Active
-73.93566495,40.79246694,no,Thomas Jefferson Park,M,1,B, Near Ballfield Under Tree,Active
-73.9148451,40.79484725,,Randall's Island Park,M,1,P,edestal Out in Open Near Ballfield,Active
-73.82445541,40.84661868,no,Pelham Bay Park,X,1,C, Near Ballfield,Active
-73.9575098,40.60380865,yes,Kelly Park,B,1,D, In Playground,Active
-73.96242699,40.75499171,yes,Sutton Parks,M,1,E,Wheelchair Under Tree,Active
-73.81090303,40.74590317,no,Kissena Park,Q,1,A, Near Ballfield,Active
-73.89293579,40.62900653,yes,Canarsie Park,B,1,A, Out in Open Near Ballfield,Active
-73.91373062,40.66214589,yes,Betsy Head Park,B,1,A, Under Tree In Shade,Active
-73.94282703,40.67826055,yes,St. Andrew's Playground,B,1,A, Near Ballfield In Playground,Active
-73.85276344,40.73598175,no,Playground Sixty Two LXII,Q,1,A, In Playground,Active
-74.16276533,40.61976673,no,Jennifer's Playground,R,1,C, Out in Open,Active
-73.94921759,40.74756423,no,Murray Playground,Q,1,C, Near Ballfield Out in Open,Active
-74.19724705,40.56130174,yes,Freshkills Park,R,1,P,edestal Near Ballfield,Active
-73.93032856,40.82718867,no,Macombs Dam Park,X,1,T,rough Out in Open,Active
-73.91365078,40.83618064,no,Grant Park,X,1,C, Out in Open,Active
-73.84260509,40.84061236,no,Owen F. Dolen Park,X,2,E,Wheelchair Child Out in Open,Active
-73.86404139,40.89077734,no,Bronx River Parkway,X,1,D, In Playground,Active
-73.94683637,40.63753103,no,Nostrand Playground,B,1,E,Wheelchair Out in Open Near Ballfield,Active
-73.88895763,40.81526265,no,Julio Carballo Fields,X,1,C, In Playground,Active
-74.0159678,40.702604,yes,The Battery,M,1,E,Wheelchair Under Tree,Active
-73.94760287,40.70614733,,Sternberg Park,B,1,A, Near Ballfield,Active
-73.99675317,40.57836301,no,Kaiser Park,B,1,C, Out in Open In Playground,Active
-73.97572558,40.57349615,no,Coney Island Beach & Boardwalk,B,1,E,Wheelchair Out in Open,Active
-73.85017982,40.66501359,yes,Harold Schneiderman Playground,Q,1,A, Out in Open,Active
-74.03844843,40.63407326,no,Shore Park and Parkway,B,1,C, Near Ballfield,Active
-73.93268037,40.80562803,no,Harlem River Park,M,1,B, Near Ballfield,Active
-73.87780645,40.84272455,no,Bronx Park,X,1,C, Out in Open In Playground,Active
-74.01303253,40.63234298,no,Quaker Parrot Park at the Dust Bowl,B,1,C, Near Ballfield,Active
-73.9123665,40.61161989,no,Lindower Park,B,1,A, Near Ballfield Out in Open,Active
-73.76521863,40.77251172,no,Cross Island Parkway,Q,1,A, Out in Open,Active
-73.84542565,40.83893675,,The Pearly Gates,X,1,D,,Active
-73.89024,40.66736675,yes,Martin Luther King Jr. Playground,B,1,C, In Playground,Active
-73.92417336,40.83331969,,Mullaly Park,X,1,C, Out in Open Near Ballfield,Active
-73.92549746,40.66709165,yes,Lincoln Terrace / Arthur S. Somers Park,B,1,D, Out in Open,Active
-73.84527477,40.74743577,no,Flushing Meadows Corona Park,Q,1,A, Under Tree,Active
-73.92713277,40.61817913,no,Power Playground,B,1,C, Under Tree Out in Open In Playground,Active
-74.03015708,40.64052404,no,Owl's Head Park,B,1,C, Just Outside Playground,Active
-73.97842476,40.74196948,no,Vincent F. Albano Jr. Playground,M,1,A, In Playground,Active
-73.9444885,40.77409711,no,Carl Schurz Park,M,1,C, In Playground,Active
-73.9418616,40.80251132,no,Eugene McCabe Field,M,1,C, Near Ballfield,Active
-73.87122287,40.85904534,no,Bronx Park,X,1,A, Out in Open,Active
-73.95552037,40.79160878,yes,Central Park,M,1,E,Wheelchair Dog Out in Open,Active
-73.93392523,40.60669822,yes,Marine Park,B,1,A, Near Ballfield,Active
-73.93643855,40.82900639,yes,Holcombe Rucker Park,M,1,A, Under Tree In Playground Near Ballfield,Active
-73.94990591,40.79682565,yes,Central Park,M,1,E,Wheelchair Dog Under Tree In Shade,Active
-73.92289938,40.64394105,no,Harry Maze Playground,B,2,E,High Low Out in Open Near Ballfield,Active
-73.89667287,40.81947608,no,Rainey Park,X,1,D, Near Ballfield,Active
-73.89696154,40.69750799,no,Evergreen Park,Q,1,A, In Playground,Active
-74.08128463,40.59574087,no,Old Town Playground,R,1,D, In Playground,Active
-74.00410576,40.74661846,yes,Clement Clarke Moore Park,M,1,A, Under Tree In Shade In Playground,Active
-74.00275612,40.7280703,yes,Playground of the Americas,M,1,A, Under Tree In Playground,Active
-73.99645526,40.68831819,,Cobble Hill Park,B,1,B, In Shade In Playground,Active
-73.90587279,40.82885437,no,Estella Diggs Park,X,1,T,rough Out in Open,Active
-73.89555075,40.88158377,yes,Fort Independence Playground,X,1,E,Wheelchair Under Tree,Active
-73.97264026,40.6546844,,Prospect Park,B,1,E,Wheelchair Dog Out in Open Just Outside Playground,Active
-74.01626797,40.70437576,yes,The Battery,M,1,E,Wheelchair Dog Under Tree In Shade,Active
-73.94991467,40.7968275,yes,Central Park,M,1,E,Wheelchair Under Tree In Shade,Active
-73.99740401,40.69623211,no,Pierrepont Playground,B,1,C, Under Tree Out in Open In Playground,Active
-73.97664558,40.65023927,yes,Greenwood Playground,B,1,A, In Playground,Active
-73.87913372,40.72971271,no,Crowley Playground,Q,1,A, In Shade Under Tree,Active
-74.20873375,40.53520633,no,Bloomingdale Park,R,1,D, In Playground,Active
-74.00564362,40.72016157,yes,Tribeca Park,M,1,E,Wheelchair Under Tree,Active
-74.0076534,40.67817859,yes,Coffey Park,B,1,E,Wheelchair Dog Just Outside Playground In Shade Under Tree,Active
-74.01216904,40.64949212,yes,Pena Herrera Park,B,1,A, In Playground,Active
-73.89812647,40.70696839,no,Benninger Playground,Q,1,A, Under Tree Just Outside Playground,Active
-73.96461148,40.58238352,no,Grady Playground,B,1,C, In Playground Under Tree In Shade,Active
-73.98672948,40.77364402,no,Samuel N. Bennerson 2nd Playground,M,1,O,ther Under Tree Near Ballfield In Playground,Active
-73.92321519,40.64328226,yes,Harry Maze Playground,B,1,C, Out in Open In Playground,Active
-73.93635489,40.71579542,no,Cooper Park,B,1,E,Wheelchair Near Ballfield,Active
-73.86269216,40.57558373,no,Gwirtzman Triangle,Q,1,E,Wheelchair Out in Open,Active
-73.98917092,40.58275003,yes,Coney Island Boat Basin,B,1,A, Near Ballfield Out in Open,Active
-73.98596758,40.60907927,yes,Seth Low Playground/ Bealin Square,B,1,E,Wheelchair Out in Open Just Outside Playground,Active
-73.98679232,40.78315301,no,Riverside Park,M,1,A, Out in Open Just Outside Playground,Active
-73.98836849,40.77981994,yes,Riverside Park South,M,1,D, Out in Open,Active
-74.00207383,40.74167978,no,Dr. Gertrude B. Kelly Playground,M,1,C, Under Tree Near Ballfield In Playground,Active
-73.98615358,40.72182815,yes,ABC Playground,M,1,D, Under Tree In Playground Near Ballfield,Active
-74.00242324,40.72872004,yes,William F. Passannante Ballfield,M,1,A, Near Ballfield In Shade Under Tree,Active
-73.96063397,40.68916975,no,Classon Playground,B,1,C, Under Tree Out in Open In Playground,Active
-73.84284225,40.86797015,yes,Givan Square,X,1,D, Under Tree In Shade In Playground,Active
-73.89012002,40.68744983,yes,Highland Park,Q,1,A, In Shade,Active
-73.84827835,40.74137742,yes,Flushing Meadows Corona Park,Q,1,A, Near Ballfield Just Outside Playground,Active
-73.90361858,40.72753094,no,Frank Principe Park,Q,1,O,ther Under Tree,Active
-73.84054374,40.74843557,no,Flushing Meadows Corona Park,Q,1,C, Out in Open,Active
-73.89174158,40.70672395,yes,Mafera Park,Q,1,C, Near Ballfield,Active
-73.9843104,40.62413569,no,Gravesend Park,B,1,C, Out in Open Just Outside Playground,Active
-73.80840666,40.74231161,no,Kissena Park,Q,1,C, Out in Open In Playground,Active
-74.01732014,40.71448322,yes,Battery Park City,M,1,O,ther Under Tree,Active
-73.99723548,40.73053164,yes,Washington Square Park,M,1,E,Wheelchair Out in Open,Active
-73.93582212,40.69271002,no,Eleanor Roosevelt Playground,B,2,B,ottle Filler High Low In Playground,Active
-73.91790713,40.68524779,,Saratoga Park,B,1,O,ther Under Tree In Playground,Active
-73.84286532,40.70096389,no,Forest Park,Q,1,D, In Playground,Active
-73.93378934,40.67505034,no,St. John's Recreation Center,B,1,E,Wheelchair Out in Open,Active
-73.99788622,40.71025919,yes,Alfred E. Smith Playground,M,1,E,Wheelchair Near Ballfield,Active
-74.00603793,40.67243037,no,Red Hook Recreation Area,B,1,A, Out in Open,Active
-73.841935,40.74043145,yes,Grand Central Parkway Extension,Q,1,D, Under Tree Out in Open,Active
-73.7850332,40.70318723,no,Detective Keith L Williams Park,Q,1,A, In Shade,Active
-74.0915897,40.62859818,yes,Silver Lake Park,R,1,A, Out in Open,Active
-73.96792382,40.65340703,,Prospect Park,B,1,B,ottle Filler Fountain Under Tree In Shade Out in Open,Active
-73.9833493,40.57265277,no,Coney Island Beach & Boardwalk,B,1,E,Wheelchair Out in Open,Active
-73.88497889,40.73068049,,Elmhurst Park,Q,1,E,Wheelchair Out in Open,Active
-73.93028739,40.86380628,no,Fort Tryon Park,M,1,O,ther Under Tree,Active
-74.00458783,40.6726557,yes,Red Hook Recreation Area,B,1,A, Out in Open,Active
-73.9522538,40.81798197,no,Annunciation Playground,M,1,O,ther Near Ballfield Just Outside Playground,Active
-73.96787068,40.66972476,,Prospect Park,B,1,A,,Active
-73.99456137,40.57143608,no,Coney Island Beach & Boardwalk,B,1,E,Wheelchair Out in Open,Active
-74.01097259,40.60258543,yes,Bath Beach Park,B,1,A, Under Tree,Active
-74.06521232,40.59103751,yes,Franklin D. Roosevelt Boardwalk and Beach,R,1,D, Near Ballfield,Active
-74.01917659,40.65329318,no,Bush Terminal Park,B,1,C,S Metal Near Ballfield,Active
-73.97700106,40.77181245,no,Central Park,M,1,B, Under Tree In Shade Out in Open,Active
-73.81413048,40.82326347,no,Bicentennial Veterans Memorial Park,X,1,A, Under Tree Out in Open,Active
-74.18567861,40.52220469,no,E.M.T. Christopher J. Prescott Playground,R,1,C,S Concrete In Playground,Active
-73.88955071,40.8811154,yes,Jerome Park,X,1,E,Wheelchair Out in Open,Active
-73.89500319,40.8365981,yes,Crotona Park,X,1,E, Out in Open,Active
-73.91776207,40.79558594,no,Randall's Island Park,M,1,P,edestal Out in Open Near Ballfield,Active
-73.9821315,40.72694688,no,Tompkins Square Park,M,1,B, In Playground Near Ballfield,Active
-73.8580585,40.76144894,No,Grand Central Parkway Extension,Q,0,C, Out in open,Active
-73.88681474,40.65577894,yes,Ethan Allen Playground,B,1,C,S Concrete In Playground,Active
-73.96609333,40.65280064,no,Parade Ground,B,1,A, Out in Open Near Ballfield,Active
