Mission,Launch,Landing,Death,Month,Year
STS-112,7-Oct-02,18-Oct-02,No,Oct,2002
STS-113,23-Nov-02,7-Dec-02,No,Nov,2002
STS-107,16-Jan-03,1-Feb-03,Yes,Jan,2003
STS-114,26-Jul-05,9-Aug-05,No,Jul,2005
STS-121,4-Jul-06,17-Jul-06,No,Jul,2006
STS-115,9-Sep-06,21-Sep-06,No,Sep,2006
STS-116,9-Dec-06,22-Dec-06,No,Dec,2006
STS-117,8-Jun-07,22-Jun-07,No,Jun,2007
STS-118,8-Aug-07,21-Aug-07,No,Aug,2007
STS-120,23-Oct-07,7-Nov-07,No,Oct,2007
STS-122,7-Feb-08,21-Feb-08,No,Feb,2008
STS-123,11-Mar-08,26-Mar-08,No,Mar,2008
STS-124,31-May-08,14-Jun-08,No,May,2008
STS-125,11-May-09,24-May-09,No,May,2009
STS-127,15-Jul-09,31-Jul-09,No,Jul,2009
STS-128,28-Aug-09,11-Sep-09,No,Aug,2009
STS-129,16-Nov-09,27-Nov-09,No,Nov,2009
STS-130,8-Feb-10,22-Feb-10,No,Feb,2010
STS-131,5-Apr-10,20-Apr-10,No,Apr,2010
STS-132,14-May-10,26-May-10,No,May,2010
STS-133,24-Feb-11,9-Mar-11,No,Feb,2011
STS-134,16-May-11,1-Jun-11,No,May,2011
STS-135,8-Jul-11,21-Jul-11,No,Jul,2011
